sample_id	dtype	urls	uri
200080	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/200080/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200080.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/200080/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200080.nucflag.bed
200084	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/200084/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200084.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/200084/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200084.nucflag.bed
200085	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/200085/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200085.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/200085/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/200085.nucflag.bed
HG00096	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00096/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00096.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00096/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00096.nucflag.bed
HG00126	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00126/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00126.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00126/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00126.nucflag.bed
HG00140	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00140/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00140.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00140/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00140.nucflag.bed
HG002	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG002/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG002.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG002/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG002.nucflag.bed
HG00280	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00280/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00280.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00280/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00280.nucflag.bed
HG00290	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00290/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00290.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG00290/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG00290.nucflag.bed
HG003	bedfile	https://s3-us-west-2.amazonaws.com/human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG003/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG003.nucflag.bed	s3://human-pangenomics/submissions/283198D5-BB8F-49CB-B1F9-CE1500812D8E--HPRC_R2_CHRY_QC_NUCFLAG/HG003/hprc_chry/assembly_qc/nucflag/v0.3.4_hifi/HG003.nucflag.bed
